epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9626,1.45088,3.05817,0.01251,0.3684,0.10933,0.11185,0.04107,1.75618,2.94588,0.02535,0.000660256,0.000660256,0.0676474
2,27.8156,1.34154,1.84071,0.01133,0.46287,0.52474,0.47074,0.24296,1.68356,1.53798,0.02558,0.00132684,0.00132684,0.0349807
3,39.5785,1.33592,1.38223,0.01138,0.64482,0.65464,0.70118,0.34807,1.56286,1.2209,0.02046,0.0019931,0.0019931,0.00231362
4,51.3826,1.31541,1.15066,0.01099,0.78331,0.70089,0.78731,0.4495,1.4815,0.96922,0.01923,0.0019989,0.0019989,0.0019989
5,63.2293,1.28953,0.98645,0.01076,0.7841,0.7393,0.82677,0.48278,1.42596,0.98102,0.01828,0.00199805,0.00199805,0.00199805
6,75.3979,1.26297,0.88678,0.01044,0.78447,0.79073,0.85998,0.50661,1.34504,0.8614,0.01726,0.00199695,0.00199695,0.00199695
7,87.2371,1.23706,0.85705,0.01005,0.815,0.74261,0.83662,0.47128,1.62734,0.98154,0.0221,0.00199561,0.00199561,0.00199561
8,99.0308,1.23789,0.81053,0.01015,0.86034,0.78563,0.88815,0.46069,1.59025,0.88525,0.02376,0.00199402,0.00199402,0.00199402
9,110.826,1.22406,0.79074,0.01006,0.8947,0.75994,0.8669,0.52657,1.35609,0.74264,0.01753,0.00199219,0.00199219,0.00199219
10,122.723,1.21163,0.76059,0.00991,0.85111,0.80854,0.88637,0.52292,1.40915,0.65724,0.01811,0.00199012,0.00199012,0.00199012
11,134.493,1.18265,0.73585,0.00961,0.86401,0.80621,0.89563,0.50826,1.54395,0.81318,0.02165,0.00198781,0.00198781,0.00198781
12,146.363,1.18617,0.7149,0.00974,0.77632,0.76669,0.79792,0.41904,1.59248,0.95476,0.02201,0.00198526,0.00198526,0.00198526
13,158.242,1.18234,0.68794,0.00957,0.89411,0.84541,0.91211,0.51675,1.44312,0.6109,0.01839,0.00198246,0.00198246,0.00198246
14,170.017,1.1484,0.67237,0.00938,0.88991,0.80257,0.8915,0.54156,1.38904,0.68537,0.01801,0.00197943,0.00197943,0.00197943
15,181.919,1.16488,0.69683,0.00939,0.92611,0.84265,0.91842,0.56015,1.33412,0.62302,0.01655,0.00197616,0.00197616,0.00197616
16,193.828,1.12705,0.6477,0.00914,0.89652,0.83539,0.90541,0.57151,1.37823,0.57777,0.01827,0.00197265,0.00197265,0.00197265
17,205.752,1.14145,0.65587,0.00925,0.91661,0.85123,0.93169,0.60333,1.22801,0.60191,0.01564,0.0019689,0.0019689,0.0019689
18,217.677,1.11962,0.6133,0.00907,0.88397,0.83047,0.89765,0.5734,1.26961,0.65521,0.01601,0.00196491,0.00196491,0.00196491
19,229.553,1.11651,0.61588,0.00901,0.90816,0.88955,0.92736,0.60951,1.24224,0.49577,0.01568,0.00196069,0.00196069,0.00196069
20,241.436,1.1083,0.60418,0.00893,0.86867,0.89204,0.93066,0.57039,1.3271,0.60919,0.01677,0.00195624,0.00195624,0.00195624
21,253.312,1.11645,0.62537,0.00896,0.89914,0.86829,0.91826,0.59987,1.20097,0.53482,0.01498,0.00195155,0.00195155,0.00195155
22,265.242,1.11616,0.60632,0.00901,0.94846,0.86272,0.94332,0.58229,1.26174,0.55179,0.01544,0.00194662,0.00194662,0.00194662
23,277.105,1.10239,0.59417,0.00881,0.91027,0.87481,0.93421,0.61077,1.22229,0.53569,0.01531,0.00194147,0.00194147,0.00194147
24,288.989,1.08703,0.5818,0.00867,0.90774,0.86536,0.91903,0.60499,1.28635,0.5566,0.0167,0.00193609,0.00193609,0.00193609
25,300.896,1.09437,0.588,0.00881,0.92434,0.89253,0.93913,0.59257,1.28202,0.53987,0.01641,0.00193048,0.00193048,0.00193048
26,312.764,1.07935,0.59323,0.00862,0.93238,0.87651,0.93986,0.61003,1.22474,0.51426,0.01513,0.00192464,0.00192464,0.00192464
27,324.954,1.08189,0.57098,0.00858,0.91097,0.87086,0.92824,0.59532,1.2738,0.53329,0.01618,0.00191858,0.00191858,0.00191858
28,336.866,1.06387,0.56091,0.00849,0.92194,0.87536,0.93445,0.61917,1.23662,0.55118,0.01586,0.00191229,0.00191229,0.00191229
29,348.681,1.06536,0.56348,0.00855,0.93002,0.88606,0.93637,0.59464,1.32035,0.52046,0.01742,0.00190578,0.00190578,0.00190578
30,360.825,1.07452,0.54243,0.0086,0.92927,0.89368,0.94239,0.60219,1.29552,0.4847,0.01694,0.00189905,0.00189905,0.00189905
31,372.745,1.05686,0.53887,0.00829,0.94384,0.91489,0.95529,0.64447,1.17806,0.43724,0.01481,0.0018921,0.0018921,0.0018921
32,384.636,1.05613,0.54729,0.0085,0.9452,0.89611,0.94693,0.64219,1.22898,0.44267,0.01529,0.00188493,0.00188493,0.00188493
33,396.53,1.05056,0.53407,0.00841,0.91648,0.86812,0.9177,0.59387,1.22809,0.4857,0.01554,0.00187754,0.00187754,0.00187754
34,408.317,1.05643,0.55023,0.00839,0.87061,0.8627,0.90749,0.61005,1.18056,0.59772,0.01461,0.00186995,0.00186995,0.00186995
35,420.172,1.03207,0.52321,0.00817,0.91127,0.89553,0.93786,0.63527,1.21945,0.50841,0.01551,0.00186213,0.00186213,0.00186213
36,432.072,1.03852,0.54514,0.00824,0.94123,0.90898,0.94648,0.63562,1.17271,0.4664,0.01442,0.00185411,0.00185411,0.00185411
37,443.956,1.03419,0.53428,0.00824,0.9353,0.91157,0.94866,0.63647,1.14549,0.42884,0.0137,0.00184588,0.00184588,0.00184588
38,455.856,1.03834,0.53931,0.00821,0.91806,0.88843,0.94018,0.63401,1.15011,0.48451,0.01388,0.00183745,0.00183745,0.00183745
39,468.071,1.02705,0.5238,0.00819,0.88008,0.88475,0.91614,0.60813,1.14313,0.51614,0.01416,0.00182881,0.00182881,0.00182881
40,480.38,1.01901,0.5187,0.0081,0.94442,0.87684,0.93618,0.61527,1.18518,0.46395,0.01442,0.00181997,0.00181997,0.00181997
41,492.598,1.01748,0.51574,0.00803,0.93377,0.88873,0.94129,0.64292,1.15646,0.48337,0.01424,0.00181093,0.00181093,0.00181093
42,504.61,0.98863,0.49802,0.00781,0.90483,0.896,0.92652,0.63332,1.15085,0.46516,0.01425,0.00180169,0.00180169,0.00180169
43,516.622,1.00556,0.5105,0.00797,0.91823,0.90788,0.94364,0.63621,1.14792,0.43328,0.01406,0.00179225,0.00179225,0.00179225
44,528.461,0.99844,0.50093,0.00786,0.93554,0.883,0.93637,0.63609,1.15843,0.4504,0.01425,0.00178263,0.00178263,0.00178263
45,540.43,1.00228,0.49148,0.00776,0.92845,0.89677,0.9519,0.65089,1.15525,0.41075,0.01415,0.00177281,0.00177281,0.00177281
46,552.456,0.97149,0.47659,0.00773,0.92731,0.90025,0.94302,0.63977,1.15857,0.41663,0.01437,0.0017628,0.0017628,0.0017628
47,564.337,1.00916,0.49484,0.00803,0.94268,0.89855,0.94871,0.65309,1.11349,0.43364,0.0134,0.00175261,0.00175261,0.00175261
48,576.319,0.98139,0.48464,0.00777,0.92608,0.89533,0.93405,0.63984,1.15583,0.40856,0.01413,0.00174223,0.00174223,0.00174223
49,588.227,0.98032,0.49374,0.00785,0.91433,0.88991,0.92076,0.61784,1.17051,0.45912,0.01438,0.00173168,0.00173168,0.00173168
50,600.084,0.96708,0.48088,0.0076,0.9147,0.90619,0.93964,0.64042,1.14208,0.40607,0.01382,0.00172095,0.00172095,0.00172095
51,612.114,0.97392,0.49828,0.00777,0.94448,0.9128,0.94949,0.642,1.16631,0.41698,0.01434,0.00171004,0.00171004,0.00171004
52,624.007,0.95979,0.47644,0.0077,0.92403,0.91471,0.94488,0.64686,1.17181,0.4127,0.01412,0.00169895,0.00169895,0.00169895
53,635.979,0.97706,0.48111,0.00773,0.94777,0.90978,0.94711,0.64946,1.12723,0.40704,0.01348,0.0016877,0.0016877,0.0016877
54,647.926,0.9561,0.46546,0.0075,0.93986,0.9075,0.94409,0.63678,1.21158,0.42668,0.01527,0.00167628,0.00167628,0.00167628
55,659.748,0.95707,0.46927,0.00757,0.92103,0.91504,0.9438,0.63801,1.14361,0.41887,0.01365,0.0016647,0.0016647,0.0016647
56,671.708,0.94857,0.47182,0.0075,0.914,0.90399,0.93865,0.64718,1.15069,0.42648,0.01396,0.00165295,0.00165295,0.00165295
57,683.578,0.94773,0.46101,0.00751,0.91411,0.91129,0.94612,0.63817,1.14714,0.43601,0.01379,0.00164105,0.00164105,0.00164105
58,695.576,0.9472,0.46007,0.00741,0.89024,0.88318,0.91774,0.62904,1.15435,0.45597,0.0143,0.00162899,0.00162899,0.00162899
59,707.509,0.92259,0.45159,0.00724,0.92434,0.9127,0.95146,0.65004,1.10878,0.39432,0.01324,0.00161678,0.00161678,0.00161678
60,719.35,0.93962,0.46667,0.00744,0.94563,0.91171,0.94608,0.66063,1.08073,0.41185,0.01301,0.00160442,0.00160442,0.00160442
61,731.343,0.93306,0.45052,0.00723,0.94126,0.90928,0.94907,0.65294,1.14265,0.41402,0.014,0.00159191,0.00159191,0.00159191
62,743.197,0.93529,0.46115,0.00738,0.9148,0.90695,0.93204,0.63935,1.16008,0.43032,0.01421,0.00157926,0.00157926,0.00157926
63,755.165,0.92285,0.45067,0.00735,0.92402,0.9159,0.95266,0.6663,1.10372,0.43135,0.01323,0.00156646,0.00156646,0.00156646
64,767.109,0.92025,0.45568,0.00724,0.94453,0.8911,0.9513,0.65947,1.1239,0.43555,0.01345,0.00155353,0.00155353,0.00155353
65,778.946,0.92091,0.45531,0.00727,0.9351,0.91279,0.94619,0.6514,1.1009,0.38279,0.0133,0.00154047,0.00154047,0.00154047
66,790.944,0.91575,0.45419,0.00723,0.92634,0.91908,0.94882,0.66195,1.11295,0.4044,0.01345,0.00152727,0.00152727,0.00152727
67,802.837,0.89731,0.43652,0.00705,0.9286,0.91339,0.93938,0.63554,1.1765,0.42749,0.01427,0.00151395,0.00151395,0.00151395
68,814.846,0.91633,0.44912,0.0072,0.92371,0.90454,0.94201,0.64715,1.14521,0.41517,0.0142,0.0015005,0.0015005,0.0015005
69,826.867,0.89588,0.43526,0.00698,0.92023,0.9076,0.94274,0.65228,1.12989,0.40838,0.01358,0.00148694,0.00148694,0.00148694
70,838.958,0.91026,0.444,0.00708,0.94476,0.90484,0.9521,0.64171,1.16073,0.47561,0.0143,0.00147325,0.00147325,0.00147325
71,851.271,0.90174,0.42833,0.00712,0.94552,0.9176,0.95467,0.65724,1.10279,0.42262,0.01313,0.00145945,0.00145945,0.00145945
72,863.358,0.88747,0.43451,0.00697,0.92388,0.90203,0.93572,0.64731,1.14781,0.39765,0.01387,0.00144554,0.00144554,0.00144554
73,875.551,0.88606,0.43502,0.00694,0.93594,0.91064,0.93789,0.6425,1.13639,0.39009,0.01371,0.00143152,0.00143152,0.00143152
74,887.491,0.88764,0.43104,0.00697,0.94189,0.90511,0.95366,0.66052,1.08181,0.42953,0.01294,0.0014174,0.0014174,0.0014174
75,899.33,0.87692,0.4241,0.00685,0.92842,0.9088,0.9476,0.64795,1.13907,0.38715,0.01373,0.00140318,0.00140318,0.00140318
76,911.584,0.88622,0.43091,0.00693,0.94552,0.90103,0.94615,0.65068,1.10903,0.41343,0.01322,0.00138886,0.00138886,0.00138886
77,923.952,0.88579,0.43645,0.00686,0.93775,0.90671,0.94683,0.64335,1.12684,0.41366,0.01363,0.00137444,0.00137444,0.00137444
78,936.492,0.87948,0.40768,0.00691,0.94617,0.9144,0.96224,0.6578,1.11375,0.38931,0.01337,0.00135994,0.00135994,0.00135994
79,948.903,0.86713,0.41927,0.00678,0.94087,0.91502,0.95552,0.66726,1.09374,0.37384,0.013,0.00134535,0.00134535,0.00134535
80,964.068,0.86115,0.41994,0.00667,0.94162,0.90216,0.94262,0.6533,1.11962,0.39531,0.01329,0.00133068,0.00133068,0.00133068
81,976.719,0.87408,0.42331,0.00682,0.92592,0.90862,0.93777,0.63886,1.16426,0.40417,0.01416,0.00131593,0.00131593,0.00131593
82,989.058,0.84171,0.40415,0.00655,0.95025,0.91132,0.95458,0.66381,1.13205,0.39565,0.01353,0.0013011,0.0013011,0.0013011
83,1001.45,0.86307,0.41293,0.0067,0.93193,0.90331,0.93926,0.64976,1.13891,0.40745,0.01373,0.0012862,0.0012862,0.0012862
84,1013.54,0.84527,0.41433,0.00657,0.93315,0.88416,0.93009,0.64139,1.11393,0.39958,0.01337,0.00127123,0.00127123,0.00127123
85,1026.84,0.84968,0.41186,0.00662,0.92197,0.8996,0.93551,0.64757,1.12127,0.41866,0.01351,0.0012562,0.0012562,0.0012562
86,1040.96,0.85455,0.40637,0.00664,0.94128,0.91065,0.95538,0.66854,1.10313,0.38834,0.01323,0.00124111,0.00124111,0.00124111
87,1055.34,0.83063,0.40422,0.00647,0.9348,0.92556,0.94947,0.6609,1.10341,0.38243,0.01312,0.00122596,0.00122596,0.00122596
88,1068.69,0.83746,0.40439,0.00652,0.91551,0.92203,0.9462,0.65846,1.10198,0.38866,0.01329,0.00121076,0.00121076,0.00121076
89,1080.64,0.83411,0.40229,0.00653,0.94883,0.92773,0.95639,0.66075,1.11118,0.4314,0.0132,0.00119551,0.00119551,0.00119551
90,1092.59,0.83963,0.41414,0.00656,0.93311,0.90801,0.94685,0.6596,1.09421,0.39476,0.01308,0.00118021,0.00118021,0.00118021
91,1104.52,0.83693,0.39671,0.00659,0.94409,0.90679,0.94624,0.65298,1.1116,0.3927,0.01329,0.00116487,0.00116487,0.00116487
92,1116.49,0.82259,0.39165,0.0064,0.944,0.90217,0.95059,0.66686,1.09674,0.39837,0.01315,0.00114949,0.00114949,0.00114949
93,1128.31,0.81737,0.39077,0.00639,0.91635,0.92193,0.94674,0.66147,1.10276,0.39261,0.01323,0.00113408,0.00113408,0.00113408
94,1140.33,0.81372,0.39555,0.00625,0.9392,0.91185,0.95013,0.65709,1.09964,0.39146,0.01303,0.00111864,0.00111864,0.00111864
95,1152.29,0.81363,0.3884,0.00629,0.93979,0.9146,0.94563,0.65636,1.11168,0.41228,0.01338,0.00110317,0.00110317,0.00110317
96,1164.19,0.808,0.392,0.0063,0.93382,0.92939,0.95652,0.65785,1.11853,0.39395,0.01332,0.00108767,0.00108767,0.00108767
97,1176.17,0.79853,0.3818,0.0062,0.93268,0.92164,0.94622,0.65932,1.10377,0.3852,0.0131,0.00107216,0.00107216,0.00107216
98,1189.96,0.81654,0.39177,0.00631,0.92974,0.92169,0.9488,0.66211,1.09707,0.40401,0.013,0.00105664,0.00105664,0.00105664
99,1205.12,0.82014,0.39547,0.00631,0.93498,0.92138,0.9547,0.66634,1.0897,0.43466,0.01293,0.0010411,0.0010411,0.0010411
100,1219.14,0.7976,0.38576,0.00624,0.93553,0.92331,0.9499,0.65732,1.12237,0.37427,0.01328,0.00102555,0.00102555,0.00102555
101,1234.53,0.80899,0.37957,0.00627,0.95002,0.91551,0.95518,0.66619,1.08357,0.36974,0.01281,0.00101,0.00101,0.00101
102,1249.31,0.79303,0.38008,0.00611,0.95606,0.90895,0.95214,0.66512,1.09468,0.37223,0.013,0.00099445,0.00099445,0.00099445
103,1262.95,0.78994,0.38063,0.00614,0.93376,0.92746,0.95284,0.66387,1.10565,0.38041,0.01313,0.000978903,0.000978903,0.000978903
104,1274.91,0.80097,0.38761,0.00621,0.94456,0.93738,0.95499,0.65927,1.10016,0.38108,0.01302,0.000963365,0.000963365,0.000963365
105,1286.74,0.78445,0.38479,0.00604,0.95026,0.91917,0.95273,0.66717,1.09546,0.37705,0.01293,0.000947837,0.000947837,0.000947837
106,1298.7,0.78094,0.3748,0.00606,0.94777,0.92886,0.96019,0.67108,1.09826,0.40035,0.01293,0.000932325,0.000932325,0.000932325
107,1310.61,0.78098,0.37325,0.0061,0.93895,0.93032,0.95833,0.66346,1.1173,0.41374,0.01312,0.000916833,0.000916833,0.000916833
108,1322.5,0.78113,0.37028,0.00605,0.9444,0.93297,0.95828,0.66755,1.08523,0.37621,0.01271,0.000901363,0.000901363,0.000901363
109,1334.46,0.77449,0.36735,0.00594,0.92244,0.9353,0.95561,0.66176,1.11489,0.38467,0.01318,0.00088592,0.00088592,0.00088592
110,1346.44,0.7709,0.36682,0.00597,0.95919,0.92337,0.95899,0.66549,1.12293,0.38659,0.01326,0.000870508,0.000870508,0.000870508
111,1358.31,0.76649,0.37281,0.00594,0.95848,0.9138,0.95538,0.66728,1.09384,0.39041,0.01284,0.00085513,0.00085513,0.00085513
112,1370.37,0.76838,0.36359,0.00591,0.92711,0.93448,0.9549,0.66407,1.09335,0.41344,0.01281,0.00083979,0.00083979,0.00083979
113,1382.41,0.76422,0.36287,0.0059,0.94873,0.91184,0.95125,0.66396,1.10831,0.41075,0.01312,0.000824492,0.000824492,0.000824492
114,1394.31,0.75678,0.36674,0.00582,0.93501,0.91153,0.94909,0.65453,1.10912,0.41193,0.01307,0.000809241,0.000809241,0.000809241
115,1406.39,0.75827,0.36478,0.00581,0.93301,0.91913,0.94613,0.66422,1.0947,0.41128,0.01295,0.000794038,0.000794038,0.000794038
116,1418.37,0.75735,0.36324,0.00583,0.93934,0.91888,0.94949,0.66088,1.1006,0.4239,0.01292,0.000778889,0.000778889,0.000778889
117,1430.37,0.74356,0.3554,0.00578,0.95653,0.90338,0.95197,0.66906,1.10282,0.39912,0.01301,0.000763797,0.000763797,0.000763797
118,1442.4,0.74339,0.36722,0.0057,0.93926,0.9245,0.94919,0.66199,1.10973,0.40262,0.01308,0.000748766,0.000748766,0.000748766
119,1454.3,0.74428,0.35398,0.00572,0.95557,0.91562,0.95006,0.66322,1.10445,0.39597,0.01306,0.000733799,0.000733799,0.000733799
120,1466.27,0.73366,0.35445,0.00564,0.94391,0.92399,0.9511,0.6635,1.10003,0.38964,0.01301,0.0007189,0.0007189,0.0007189
121,1478.2,0.75665,0.35975,0.00577,0.94124,0.9204,0.94955,0.65939,1.1153,0.37957,0.01315,0.000704073,0.000704073,0.000704073
122,1490.17,0.73161,0.3456,0.00569,0.95519,0.92364,0.95084,0.65742,1.10795,0.39253,0.01309,0.000689322,0.000689322,0.000689322
123,1502.12,0.72732,0.358,0.00558,0.93202,0.92137,0.94846,0.65616,1.10924,0.42512,0.01313,0.000674649,0.000674649,0.000674649
124,1514.01,0.73599,0.35536,0.00568,0.94999,0.90966,0.95234,0.65924,1.10623,0.41268,0.013,0.00066006,0.00066006,0.00066006
125,1525.95,0.73842,0.35613,0.00572,0.9461,0.91793,0.95032,0.66819,1.10566,0.43441,0.01307,0.000645557,0.000645557,0.000645557
126,1537.89,0.73761,0.35502,0.00565,0.92037,0.92662,0.94801,0.66091,1.11846,0.41353,0.0133,0.000631143,0.000631143,0.000631143
127,1549.9,0.72265,0.35399,0.00554,0.93619,0.92488,0.95025,0.66236,1.12467,0.41262,0.01339,0.000616824,0.000616824,0.000616824
128,1562.21,0.72547,0.35079,0.00558,0.94471,0.91927,0.95055,0.66087,1.12275,0.4171,0.01334,0.000602601,0.000602601,0.000602601
129,1574.11,0.72748,0.35797,0.00559,0.95674,0.91021,0.95204,0.66539,1.12312,0.39883,0.01335,0.000588479,0.000588479,0.000588479
130,1586.03,0.72336,0.34702,0.00555,0.94404,0.92185,0.95327,0.6684,1.11276,0.39474,0.01304,0.00057446,0.00057446,0.00057446
131,1597.98,0.72589,0.35673,0.00561,0.9481,0.93014,0.95446,0.66891,1.10912,0.40908,0.01307,0.000560549,0.000560549,0.000560549
