epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,8.03749,1.9855,3.9465,0.02418,0.14989,0,0,0,0,2.05121,4.11667,0.0404,0.0166,0.000197143,0.000197143,0.0804829
2,15.1618,1.75184,2.38742,0.02184,0.10965,0.39744,0.52542,0.30745,0.20703,1.12672,2.44421,0.01774,0.00517,0.000397119,0.000397119,0.0606828
3,21.9832,1.63194,2.07665,0.02058,0.09475,0.51938,0.6228,0.56388,0.35493,1.2672,1.44231,0.01884,0.00537,0.000596997,0.000596997,0.0408827
4,28.6813,1.60604,1.83086,0.01985,0.09741,0.47636,0.71186,0.5383,0.35944,1.23112,1.25332,0.02011,0.00637,0.000796705,0.000796705,0.0210824
5,35.3332,1.5288,1.69044,0.02062,0.08551,0.46264,0.77966,0.57702,0.37833,1.24972,1.18162,0.0181,0.00665,0.000996169,0.000996169,0.00128188
6,42.1271,1.54525,1.55886,0.01943,0.09181,0.51884,0.83051,0.61677,0.43558,1.15502,1.03428,0.01572,0.04245,0.000998474,0.000998474,0.000998474
7,48.8271,1.51045,1.5031,0.02006,0.08749,0.59703,0.83051,0.71075,0.48726,1.21351,1.07017,0.01763,0.01773,0.000997803,0.000997803,0.000997803
8,55.3245,1.50279,1.43086,0.01921,0.08214,0.67605,0.72881,0.77948,0.57261,1.03275,0.95297,0.01395,0.00555,0.000997011,0.000997011,0.000997011
9,61.914,1.49516,1.35011,0.01877,0.08295,0.76322,0.81356,0.85205,0.59727,1.13231,0.75557,0.01523,0.00586,0.000996097,0.000996097,0.000996097
10,68.8925,1.4759,1.32684,0.02023,0.08224,0.81126,0.84746,0.88163,0.61171,1.16895,0.68116,0.01883,0.00238,0.000995062,0.000995062,0.000995062
11,74.9842,1.40973,1.22746,0.01756,0.08442,0.88839,0.8095,0.91214,0.62745,1.19074,0.63916,0.01948,0.00798,0.000993906,0.000993906,0.000993906
12,81.6199,1.4268,1.16068,0.01829,0.07843,0.83256,0.9322,0.91996,0.61271,1.27394,0.70051,0.0212,0.00324,0.000992629,0.000992629,0.000992629
13,88.3049,1.41909,1.18017,0.018,0.07777,0.8696,0.86441,0.93473,0.71394,0.9196,0.5523,0.01387,0.0084,0.000991232,0.000991232,0.000991232
14,95.0052,1.36479,1.11974,0.017,0.07371,0.89735,0.91525,0.95424,0.76415,0.86606,0.5558,0.01127,0.01186,0.000989715,0.000989715,0.000989715
15,101.861,1.38492,1.12349,0.01785,0.08258,0.86467,0.91525,0.93914,0.7436,0.85507,0.51972,0.0125,0.00313,0.000988079,0.000988079,0.000988079
16,108.421,1.39465,1.08696,0.01533,0.07769,0.84122,0.9322,0.94643,0.73971,0.87984,0.64233,0.01254,0.00537,0.000986323,0.000986323,0.000986323
17,115.275,1.33085,1.03852,0.01538,0.07543,0.92876,0.89831,0.96543,0.70514,1.05681,0.49241,0.01563,0.01062,0.000984449,0.000984449,0.000984449
18,122.028,1.44586,1.1138,0.016,0.07944,0.90335,0.91525,0.96533,0.70481,1.05837,0.53721,0.01536,0.00305,0.000982456,0.000982456,0.000982456
19,128.982,1.3842,1.0927,0.01634,0.08034,0.91747,0.9422,0.96279,0.68075,1.12572,0.5022,0.01699,0.00262,0.000980345,0.000980345,0.000980345
